r_ID,r_birth_yr,r_gender,r_race,r_edu_yrs,r_edu_high_deg,r_edu_sum,r_child_born,r_age_ss_payments,r1_labor_status,r2_labor_status,r3_labor_status,r4_labor_status,r5_labor_status,r6_labor_status,r7_labor_status,r8_labor_status,r9_labor_status,r10_labor_status,r11_labor_status,r12_labor_status,r13_labor_status,r14_labor_status,r15_labor_status,r16_labor_status
201117020,1929.0,2.0,3.0,13.0,3.0,4.0,2.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,
201118010,1920.0,2.0,1.0,13.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,
201119010,1920.0,2.0,1.0,10.0,0.0,1.0,3.0,,,,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,,,
201121010,1918.0,1.0,1.0,13.0,3.0,4.0,3.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
201121020,1920.0,2.0,1.0,12.0,2.0,3.0,3.0,,,,7.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,,,,,
201123010,1921.0,2.0,1.0,12.0,2.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,
201125010,1919.0,2.0,1.0,14.0,3.0,4.0,4.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
201125020,1918.0,1.0,1.0,12.0,1.0,2.0,4.0,,,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
201127010,1921.0,1.0,1.0,11.0,0.0,1.0,3.0,,,,5.0,5.0,,,,,,,,,,,,
201127020,1922.0,2.0,1.0,12.0,2.0,3.0,3.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201129010,1922.0,1.0,1.0,10.0,0.0,1.0,4.0,792.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,
201129020,1931.0,2.0,1.0,17.0,3.0,4.0,4.0,,6.0,5.0,5.0,,,,,,,,,,,,,
201131010,1918.0,1.0,1.0,11.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,
201131020,1924.0,2.0,1.0,17.0,6.0,5.0,3.0,,,2.0,5.0,5.0,5.0,5.0,,,,,,,,,,
201132010,1909.0,2.0,1.0,12.0,2.0,3.0,0.0,,,5.0,5.0,,,,,,,,,,,,,
201133010,1908.0,2.0,1.0,12.0,2.0,3.0,0.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
